age,education,sex,hours_per_week,USA_born,label,Federal-gov,Local-gov,Private,Self-emp-inc,Self-emp-not-inc,State-gov,Without-pay,Amer-Indian-Eskimo,Asian-Pac-Islander,Black,Other,White
39.0,7,0,40.0,1.0,0,False,False,False,False,False,True,False,False,False,False,False,True
50.0,7,0,13.0,1.0,0,False,False,False,False,True,False,False,False,False,False,False,True
38.0,5,0,40.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
53.0,4,0,40.0,1.0,0,False,False,True,False,False,False,False,False,False,True,False,False
28.0,7,1,40.0,0.0,0,False,False,True,False,False,False,False,False,False,True,False,False
37.0,8,1,40.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
49.0,4,1,16.0,0.0,0,False,False,True,False,False,False,False,False,False,True,False,False
52.0,5,0,45.0,1.0,1,False,False,False,False,True,False,False,False,False,False,False,True
31.0,8,1,50.0,1.0,1,False,False,True,False,False,False,False,False,False,False,False,True
42.0,7,0,40.0,1.0,1,False,False,True,False,False,False,False,False,False,False,False,True
37.0,6,0,80.0,1.0,1,False,False,True,False,False,False,False,False,False,True,False,False
30.0,7,0,40.0,0.0,1,False,False,False,False,False,True,False,False,True,False,False,False
23.0,7,1,30.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
34.0,3,0,45.0,0.0,0,False,False,True,False,False,False,False,True,False,False,False,False
25.0,5,0,35.0,1.0,0,False,False,False,False,True,False,False,False,False,False,False,True
32.0,5,0,40.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
38.0,4,0,50.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
43.0,8,1,45.0,1.0,1,False,False,False,False,True,False,False,False,False,False,False,True
40.0,9,0,60.0,1.0,1,False,False,True,False,False,False,False,False,False,False,False,True
54.0,5,1,20.0,1.0,0,False,False,True,False,False,False,False,False,False,True,False,False
35.0,4,0,40.0,1.0,0,True,False,False,False,False,False,False,False,False,True,False,False
43.0,4,0,40.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
59.0,5,1,40.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
56.0,7,0,40.0,1.0,1,False,True,False,False,False,False,False,False,False,False,False,True
19.0,5,0,40.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
39.0,5,0,80.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
49.0,5,0,40.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
20.0,6,0,44.0,1.0,0,False,False,True,False,False,False,False,False,False,True,False,False
45.0,7,0,40.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
30.0,6,0,40.0,1.0,0,True,False,False,False,False,False,False,False,False,False,False,True
22.0,6,0,15.0,1.0,0,False,False,False,False,False,True,False,False,False,True,False,False
48.0,4,0,40.0,0.0,0,False,False,True,False,False,False,False,False,False,False,False,True
21.0,6,0,40.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
19.0,5,1,25.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
31.0,6,0,38.0,0.0,1,False,False,True,False,False,False,False,False,False,False,False,True
31.0,4,0,43.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
53.0,7,0,40.0,1.0,0,False,False,False,False,True,False,False,False,False,False,False,True
24.0,7,0,50.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
49.0,5,1,40.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
25.0,5,0,35.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
57.0,7,0,40.0,1.0,1,True,False,False,False,False,False,False,False,False,True,False,False
53.0,5,0,38.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
44.0,8,1,40.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
25.0,6,1,40.0,1.0,0,False,False,True,False,False,False,False,False,False,False,True,False
18.0,5,1,30.0,0.0,0,False,False,True,False,False,False,False,False,False,False,False,True
37.0,7,0,55.0,1.0,1,True,False,False,False,False,False,False,False,False,False,False,True
47.0,5,0,60.0,1.0,0,False,False,False,True,False,False,False,False,False,False,False,True
43.0,6,0,40.0,1.0,1,False,False,True,False,False,False,False,False,False,False,False,True
46.0,2,0,40.0,0.0,0,False,False,True,False,False,False,False,False,False,False,False,True
41.0,5,0,48.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
30.0,5,0,40.0,1.0,0,False,False,True,False,False,False,False,False,False,False,False,True
